engine_used,genre_labels,aggregated_rating,release_year,rating_count
Gamebryo,RPG,81.9,2010.0,1907
Naughty Dog Engine,Shooter,95.375,2009.0,1901
Naughty Dog Engine, Platform,95.375,2009.0,1901
Naughty Dog Engine, Adventure,95.375,2009.0,1901
Dunia Engine,Shooter,89.53333333333333,2012.0,1892
Dunia Engine, Adventure,89.53333333333333,2012.0,1892
Lightweight Java Game Library,Simulator,84.35714285714286,2011.0,1777
Lightweight Java Game Library, Adventure,84.35714285714286,2011.0,1777
Unreal Engine 3,Shooter,90.8125,2012.0,1698
Unreal Engine 3,RPG,90.8125,2012.0,1698
Unreal Engine 3, Adventure,90.8125,2012.0,1698
Super Mario 64 Engine,Platform,89.0,1996.0,1675
Super Mario 64 Engine, Adventure,89.0,1996.0,1675
Unreal Engine,Shooter,80.70588235294117,2012.0,1640
Unreal Engine,RPG,80.70588235294117,2012.0,1640
id Tech 6,Shooter,86.96875,2016.0,1619
id Tech 6, Puzzle,86.96875,2016.0,1619
Unreal Engine,Puzzle,78.83783783783784,2015.0,1619
Unreal Engine,RPG,78.83783783783784,2015.0,1619
Unreal Engine, Adventure,78.83783783783784,2015.0,1619
Unreal Engine, Indie,78.83783783783784,2015.0,1619
IW Engine,Shooter,87.85714285714286,2007.0,1602
IW Engine, Simulator,87.85714285714286,2007.0,1602
Unreal Engine,Puzzle,90.35714285714286,2012.0,1594
Unreal Engine,RPG,90.35714285714286,2012.0,1594
Unreal Engine, Adventure,90.35714285714286,2012.0,1594
Scimitar,Platform,80.75,2007.0,1598
Scimitar, Adventure,80.75,2007.0,1598
Insomniac Engine v.4.0,Hack and slash/Beat 'em up,89.6875,2018.0,1578
Insomniac Engine v.4.0, Adventure,89.6875,2018.0,1578
RAGE,Shooter,88.125,2008.0,1569
RAGE, Racing,88.125,2008.0,1569
RAGE, Adventure,88.125,2008.0,1569
MAX-FX,Shooter,73.8,2001.0,1556
Telltale Tool,Point-and-click,84.3529411764706,2012.0,1536
Telltale Tool, Adventure,84.3529411764706,2012.0,1536
Anvil,Puzzle,83.33333333333333,2010.0,1533
Anvil, Adventure,83.33333333333333,2010.0,1533
AnvilNext,Platform,84.57142857142857,2013.0,1519
AnvilNext, Adventure,84.57142857142857,2013.0,1519
Gamebryo,Shooter,89.1,2008.0,1530
Gamebryo,RPG,89.1,2008.0,1530
Unity,Platform,91.25,2017.0,1529
Unity, Adventure,91.25,2017.0,1529
Unity, Indie,91.25,2017.0,1529
Proprietry in house engine,Shooter,97.4,2014.0,1505
Proprietry in house engine, Adventure,97.4,2014.0,1505
GameMaker: Studio,Puzzle,96.3846153846154,2015.0,1484
GameMaker: Studio,RPG,96.3846153846154,2015.0,1484
GameMaker: Studio, Turn-based strategy (TBS),96.3846153846154,2015.0,1484
GameMaker: Studio, Adventure,96.3846153846154,2015.0,1484
GameMaker: Studio, Indie,96.3846153846154,2015.0,1484
Eclipse Engine,RPG,90.2,2009.0,1451
Creation Engine,Shooter,84.66666666666667,2015.0,1433
Creation Engine,RPG,84.66666666666667,2015.0,1433
Unity,Platform,92.48717948717947,2016.0,1407
Unity, Puzzle,92.48717948717947,2016.0,1407
Unity, Adventure,92.48717948717947,2016.0,1407
Unity, Indie,92.48717948717947,2016.0,1407
Gamebryo,RPG,80.57142857142857,2006.0,1391
Gamebryo, Adventure,80.57142857142857,2006.0,1391
RenderWare,Shooter,95.0,2001.0,1373
RenderWare, Racing,95.0,2001.0,1373
RenderWare, Simulator,95.0,2001.0,1373
RenderWare, Adventure,95.0,2001.0,1373
Source,Shooter,70.0,2007.0,1354
Source, Puzzle,70.0,2007.0,1354
IW Engine,Shooter,85.27272727272727,2009.0,1329
Naughty Dog Engine,Shooter,93.25,2011.0,1327
Naughty Dog Engine, Platform,93.25,2011.0,1327
Naughty Dog Engine, Adventure,93.25,2011.0,1327
AnvilNext,Adventure,81.17647058823529,2012.0,1296
Microsoft XNA,RPG,90.53846153846152,2016.0,1287
Microsoft XNA, Simulator,90.53846153846152,2016.0,1287
Microsoft XNA, Strategy,90.53846153846152,2016.0,1287
Microsoft XNA, Adventure,90.53846153846152,2016.0,1287
Microsoft XNA, Indie,90.53846153846152,2016.0,1287
Unreal Engine,Hack and slash/Beat 'em up,91.8125,2015.0,1265
Unreal Engine, Adventure,91.8125,2015.0,1265
Unity,Platform,88.28571428571429,2015.0,1247
Unity, Puzzle,88.28571428571429,2015.0,1247
Unity, Adventure,88.28571428571429,2015.0,1247
Odyssey,RPG,93.66666666666669,2003.0,1240
Odyssey, Adventure,93.66666666666669,2003.0,1240
Havok Physics,RPG,85.71428571428571,2011.0,1236
Havok Physics, Adventure,85.71428571428571,2011.0,1236
 REDengine,RPG,85.71428571428571,2011.0,1236
 REDengine, Adventure,85.71428571428571,2011.0,1236
 SpeedTree,RPG,85.71428571428571,2011.0,1236
 SpeedTree, Adventure,85.71428571428571,2011.0,1236
LithTech 1,RPG,83.88888888888889,2014.0,1205
LithTech 1, Hack and slash/Beat 'em up,83.88888888888889,2014.0,1205
LithTech 1, Adventure,83.88888888888889,2014.0,1205
LS3D,Fighting,62.66666666666666,2002.0,1216
LS3D, Shooter,62.66666666666666,2002.0,1216
LS3D, Racing,62.66666666666666,2002.0,1216
LS3D, Adventure,62.66666666666666,2002.0,1216
Proprietary Engine,RPG,94.0625,2020.0,1166
Proprietary Engine, Hack and slash/Beat 'em up,94.0625,2020.0,1166
Proprietary Engine, Adventure,94.0625,2020.0,1166
Proprietary Engine, Indie,94.0625,2020.0,1166
Source,Shooter,81.0,2012.0,1177
Source, Tactical,81.0,2012.0,1177
Foundation Engine,Shooter,87.04,2015.0,1116
Foundation Engine, Adventure,87.04,2015.0,1116
id Tech 5,Shooter,77.3125,2014.0,1122
id Tech 5, Adventure,77.3125,2014.0,1122
IW Engine,Shooter,81.41666666666667,2010.0,1120
MonoGame,Platform,91.3,2018.0,1119
MonoGame, Adventure,91.3,2018.0,1119
MonoGame, Indie,91.3,2018.0,1119
 XNA Game Studio,Platform,91.3,2018.0,1119
 XNA Game Studio, Adventure,91.3,2018.0,1119
 XNA Game Studio, Indie,91.3,2018.0,1119
 FNA,Platform,91.3,2018.0,1119
 FNA, Adventure,91.3,2018.0,1119
 FNA, Indie,91.3,2018.0,1119
GameMaker: Studio,Shooter,86.2,2012.0,1102
GameMaker: Studio, Indie,86.2,2012.0,1102
GameMaker: Studio, Arcade,86.2,2012.0,1102
RE Engine,Shooter,92.83333333333331,2019.0,1080
RE Engine, Adventure,92.83333333333331,2019.0,1080
Anvil,Adventure,81.71428571428571,2011.0,1075
Godfather engine,Shooter,88.16666666666667,2008.0,1073
Godfather engine, Puzzle,88.16666666666667,2008.0,1073
Proprietary Engine,Shooter,89.08333333333333,2016.0,1050
Proprietary Engine, Strategy,89.08333333333333,2016.0,1050
Onyx Engine,RPG,80.35714285714286,2014.0,1059
Onyx Engine, Strategy,80.35714285714286,2014.0,1059
Onyx Engine, Adventure,80.35714285714286,2014.0,1059
Telltale Tool,Point-and-click,79.52272727272727,2013.0,1059
Telltale Tool, Adventure,79.52272727272727,2013.0,1059
The Illusion Engine,Shooter,72.625,2010.0,1051
The Illusion Engine, Racing,72.625,2010.0,1051
The Illusion Engine, Adventure,72.625,2010.0,1051
Firaxis LORE,Simulator,86.6,2010.0,1033
Firaxis LORE, Strategy,86.6,2010.0,1033
Firaxis LORE, Turn-based strategy (TBS),86.6,2010.0,1033
Unreal Engine,Racing,88.70588235294117,2015.0,1019
Unreal Engine, Sport,88.70588235294117,2015.0,1019
Unreal Engine, Indie,88.70588235294117,2015.0,1019
REDengine,Shooter,75.23809523809524,2020.0,999
REDengine,RPG,75.23809523809524,2020.0,999
REDengine, Adventure,75.23809523809524,2020.0,999
PhyreEngine,Platform,93.85714285714286,2012.0,1012
PhyreEngine, Adventure,93.85714285714286,2012.0,1012
Unity,Adventure,79.27777777777777,2016.0,987
Unity, Indie,79.27777777777777,2016.0,987
Fox Engine,Shooter,95.73684210526316,2015.0,981
Fox Engine, Tactical,95.73684210526316,2015.0,981
Fox Engine, Adventure,95.73684210526316,2015.0,981
Source,Shooter,88.6,2009.0,989
Dunia Engine,Shooter,86.42105263157895,2014.0,973
Dunia Engine, Tactical,86.42105263157895,2014.0,973
Dunia Engine, Adventure,86.42105263157895,2014.0,973
IW Engine,Shooter,81.07692307692308,2011.0,980
IW Engine, Tactical,81.07692307692308,2011.0,980
IW Engine, Adventure,81.07692307692308,2011.0,980
Disrupt,Shooter,81.0952380952381,2014.0,966
Disrupt, Adventure,81.0952380952381,2014.0,966
Frostbite 3,RPG,87.9375,2014.0,957
Frostbite 3, Tactical,87.9375,2014.0,957
Frostbite 3, Adventure,87.9375,2014.0,957
RAGE,Shooter,89.33333333333333,2012.0,953
 Euphoria Engine,Shooter,89.33333333333333,2012.0,953
Unreal Engine,Shooter,87.0,2010.0,954
Unreal Engine, Puzzle,87.0,2010.0,954
Unreal Engine,RPG,87.0,2010.0,954
Unreal Engine, Adventure,87.0,2010.0,954
Havok,Adventure,80.25,2010.0,945
Unreal Engine,Hack and slash/Beat 'em up,84.27272727272727,2017.0,922
Unreal Engine, Adventure,84.27272727272727,2017.0,922
Unreal Engine, Indie,84.27272727272727,2017.0,922
Crystal Engine,Shooter,92.11111111111111,2011.0,931
Crystal Engine, Puzzle,92.11111111111111,2011.0,931
Crystal Engine,RPG,92.11111111111111,2011.0,931
Frostbite,Shooter,85.0,2011.0,927
Genie Engine,Real Time Strategy (RTS),80.0,1999.0,931
Genie Engine, Strategy,80.0,1999.0,931
Kinetica,Platform,92.75,2007.0,925
Kinetica, Hack and slash/Beat 'em up,92.75,2007.0,925
Kinetica, Adventure,92.75,2007.0,925
Kinetica,Puzzle,93.33333333333331,2005.0,926
Kinetica, Hack and slash/Beat 'em up,93.33333333333331,2005.0,926
Kinetica, Adventure,93.33333333333331,2005.0,926
IW Engine,Shooter,84.4,2005.0,921
id Tech 1,Shooter,80.0,1993.0,919
AnvilNext,RPG,85.93333333333334,2017.0,888
AnvilNext, Adventure,85.93333333333334,2017.0,888
Source,Adventure,88.5,2013.0,887
Source, Indie,88.5,2013.0,887
Unreal Engine,Shooter,80.0,2009.0,882
Unreal Engine,RPG,80.0,2009.0,882
MAX-FX,Shooter,84.28571428571429,2003.0,868
Unreal Engine,Shooter,72.5,2008.0,860
Unreal Engine, Platform,72.5,2008.0,860
Unreal Engine, Adventure,72.5,2008.0,860
Unreal Engine 4,Puzzle,86.95238095238095,2017.0,830
Unreal Engine 4, Adventure,86.95238095238095,2017.0,830
Unreal Engine 4, Indie,86.95238095238095,2017.0,830
EAGL,Racing,84.71428571428571,2005.0,838
Chrome Engine,Shooter,72.05882352941177,2015.0,814
Chrome Engine,RPG,72.05882352941177,2015.0,814
Chrome Engine, Adventure,72.05882352941177,2015.0,814
The Alan Wake Engine,Shooter,83.0,2010.0,825
The Alan Wake Engine, Adventure,83.0,2010.0,825
RE Engine,Shooter,88.46153846153847,2017.0,802
RE Engine, Puzzle,88.46153846153847,2017.0,802
RE Engine, Adventure,88.46153846153847,2017.0,802
AnvilNext,RPG,70.93333333333334,2014.0,809
AnvilNext, Adventure,70.93333333333334,2014.0,809
IW Engine,Shooter,80.0,2008.0,813
IW Engine, Adventure,80.0,2008.0,813
Unreal Engine,Shooter,76.66666666666667,2012.0,793
Unreal Engine, Adventure,76.66666666666667,2012.0,793
Source,Shooter,86.5,2006.0,795
Unreal Engine 4,Adventure,82.84615384615384,2019.0,776
Blam! Engine,Shooter,86.66666666666667,2001.0,787
Frostbite,Shooter,80.27777777777777,2013.0,768
Unreal Engine 5,Shooter,82.6,2017.0,773
Unreal Engine 5,RPG,82.6,2017.0,773
Unreal Engine 5, Simulator,82.6,2017.0,773
Unreal Engine 5, Strategy,82.6,2017.0,773
Unreal Engine 5, Adventure,82.6,2017.0,773
IW Engine,Shooter,78.47058823529412,2012.0,765
AnvilNext,RPG,88.35714285714286,2018.0,766
AnvilNext, Adventure,88.35714285714286,2018.0,766
Frostbite,Shooter,89.0952380952381,2016.0,740
Unity,RPG,89.125,2019.0,755
Unity, Adventure,89.125,2019.0,755
Unity, Indie,89.125,2019.0,755
RUDE,Shooter,95.0,2002.0,756
RUDE, Platform,95.0,2002.0,756
RUDE, Puzzle,95.0,2002.0,756
RUDE, Adventure,95.0,2002.0,756
4A Engine,Shooter,87.25,2010.0,751
4A Engine,RPG,87.25,2010.0,751
Source,Shooter,80.0,2007.0,748
Telltale Tool,Point-and-click,81.13888888888889,2013.0,743
Telltale Tool, Puzzle,81.13888888888889,2013.0,743
Telltale Tool, Adventure,81.13888888888889,2013.0,743
Gamebryo,RPG,63.25,2002.0,740
Gamebryo, Adventure,63.25,2002.0,740
EAGL 2,Racing,78.5,2004.0,740
Unity,Shooter,86.88235294117646,2017.0,720
Unity, Platform,86.88235294117646,2017.0,720
Unity, Adventure,86.88235294117646,2017.0,720
Unity, Indie,86.88235294117646,2017.0,720
Unity, Arcade,86.88235294117646,2017.0,720
Unreal Engine,Shooter,90.5,2000.0,733
Unreal Engine,RPG,90.5,2000.0,733
Unreal Engine, Adventure,90.5,2000.0,733
Unreal Engine 3,Puzzle,83.4375,2013.0,713
Unreal Engine 3, Adventure,83.4375,2013.0,713
Unreal Engine 3, Indie,83.4375,2013.0,713
Super Mario 64 Engine,Adventure,90.0,2000.0,732
Odyssey,RPG,85.83333333333333,2004.0,719
Odyssey, Strategy,85.83333333333333,2004.0,719
Odyssey, Adventure,85.83333333333333,2004.0,719
id Tech 3,Shooter,86.66666666666667,2003.0,719
Halo 3,Shooter,90.75,2007.0,716
Unreal Engine,Hack and slash/Beat 'em up,71.11764705882354,2013.0,699
Unreal Engine, Adventure,71.11764705882354,2013.0,699
EAGL,Racing,76.5,2003.0,715
Northlight Engine,Shooter,83.4,2019.0,699
Northlight Engine, Adventure,83.4,2019.0,699
AnvilNext,Adventure,72.15789473684211,2015.0,693
Source,Shooter,88.91304347826087,2016.0,685
Source, Adventure,88.91304347826087,2016.0,685
Aurora Engine,RPG,88.0,2007.0,710
Aurora Engine, Adventure,88.0,2007.0,710
Dunia Engine,Shooter,84.33333333333333,2018.0,674
Dunia Engine, Adventure,84.33333333333333,2018.0,674
Cryengine 2,Shooter,84.66666666666667,2007.0,688
Cryengine 2, Adventure,84.66666666666667,2007.0,688
 CryEngine 3,Shooter,84.66666666666667,2007.0,688
 CryEngine 3, Adventure,84.66666666666667,2007.0,688
Microsoft XNA,RPG,90.25,2011.0,682
Microsoft XNA, Adventure,90.25,2011.0,682
Microsoft XNA, Indie,90.25,2011.0,682
 FNA,RPG,90.25,2011.0,682
 FNA, Adventure,90.25,2011.0,682
 FNA, Indie,90.25,2011.0,682
 sdl2,RPG,90.25,2011.0,682
 sdl2, Adventure,90.25,2011.0,682
 sdl2, Indie,90.25,2011.0,682
 FMOD,RPG,90.25,2011.0,682
 FMOD, Adventure,90.25,2011.0,682
 FMOD, Indie,90.25,2011.0,682
MT Framework,Shooter,78.4,2009.0,658
MT Framework, Adventure,78.4,2009.0,658
Divinity Engine,RPG,94.5,2023.0,652
Divinity Engine, Strategy,94.5,2023.0,652
Divinity Engine, Turn-based strategy (TBS),94.5,2023.0,652
Divinity Engine, Tactical,94.5,2023.0,652
Divinity Engine, Adventure,94.5,2023.0,652
Jade,Platform,84.22222222222223,2003.0,661
Jade, Puzzle,84.22222222222223,2003.0,661
Jade, Adventure,84.22222222222223,2003.0,661
Decima,Shooter,84.41176470588235,2019.0,639
Decima,RPG,84.41176470588235,2019.0,639
Decima, Adventure,84.41176470588235,2019.0,639
Void Engine,Shooter,85.85,2016.0,631
Void Engine,RPG,85.85,2016.0,631
Void Engine, Adventure,85.85,2016.0,631
4A Engine,Shooter,79.9,2013.0,638
Decima,Adventure,79.5,2015.0,629
Source 2,Strategy,90.5,2013.0,640
Source 2, MOBA,90.5,2013.0,640
Zouna,RPG,80.86666666666666,2019.0,625
Zouna, Adventure,80.86666666666666,2019.0,625
Unity,Strategy,88.22222222222223,2014.0,632
Unity, Turn-based strategy (TBS),88.22222222222223,2014.0,632
Unity, Card & Board Game,88.22222222222223,2014.0,632
Zero,Shooter,75.6,2005.0,636
Source,Shooter,84.85714285714286,2008.0,632
Havok,Shooter,84.5,2011.0,626
Havok, Racing,84.5,2011.0,626
Havok, Adventure,84.5,2011.0,626
IW Engine,Shooter,73.6086956521739,2013.0,608
Eclipse Engine,RPG,76.28571428571429,2011.0,607
Eclipse Engine, Adventure,76.28571428571429,2011.0,607
GoldSrc,Shooter,70.0,2000.0,614
UbiArt Framework,Platform,80.875,2013.0,600
UbiArt Framework, Adventure,80.875,2013.0,600
CATHODE,Adventure,85.63157894736842,2014.0,589
Disrupt,Shooter,81.33333333333333,2016.0,582
Disrupt, Adventure,81.33333333333333,2016.0,582
Glacier 2,Shooter,76.4,2012.0,588
Glacier 2, Tactical,76.4,2012.0,588
Glacier 2, Adventure,76.4,2012.0,588
Havok Physics,Shooter,80.66666666666667,2004.0,589
 Halo 2,Shooter,80.66666666666667,2004.0,589
Unity,Simulator,76.23076923076923,2015.0,575
Unity, Strategy,76.23076923076923,2015.0,575
Unreal Engine 4,Platform,90.26666666666668,2021.0,571
Unreal Engine 4, Puzzle,90.26666666666668,2021.0,571
Unreal Engine 4, Adventure,90.26666666666668,2021.0,571
Havok Physics,Shooter,82.0,2012.0,575
Havok Physics, Hack and slash/Beat 'em up,82.0,2012.0,575
Havok Physics, Adventure,82.0,2012.0,575
Frostbite,Shooter,89.5,2010.0,578
Frostbite, Simulator,89.5,2010.0,578
Frostbite, Strategy,89.5,2010.0,578
Frostbite, Adventure,89.5,2010.0,578
OpenFL,Point-and-click,82.4,2013.0,579
OpenFL, Puzzle,82.4,2013.0,579
OpenFL, Simulator,82.4,2013.0,579
OpenFL, Indie,82.4,2013.0,579
Unreal Engine,Platform,77.72222222222223,2017.0,553
Unreal Engine, Puzzle,77.72222222222223,2017.0,553
Unreal Engine, Strategy,77.72222222222223,2017.0,553
Unreal Engine, Adventure,77.72222222222223,2017.0,553
Unreal Engine, Indie,77.72222222222223,2017.0,553
Unreal Engine 3,Adventure,77.18181818181819,2013.0,561
Unreal Engine 3, Indie,77.18181818181819,2013.0,561
Havok Physics,Shooter,89.0,2010.0,561
 Halo Reach,Shooter,89.0,2010.0,561
CryEngine,Shooter,75.8125,2017.0,552
CryEngine, Puzzle,75.8125,2017.0,552
CryEngine,RPG,75.8125,2017.0,552
CryEngine, Adventure,75.8125,2017.0,552
HPL Engine,Puzzle,81.25,2015.0,552
HPL Engine, Adventure,81.25,2015.0,552
HPL Engine, Indie,81.25,2015.0,552
CryEngine,Shooter,86.5,2011.0,557
CryEngine, Adventure,86.5,2011.0,557
In-house engine,Shooter,80.2,2014.0,541
The Sims 3 Engine,RPG,83.11111111111111,2009.0,552
The Sims 3 Engine, Simulator,83.11111111111111,2009.0,552
The Sims 3 Engine, Strategy,83.11111111111111,2009.0,552
Unity,Puzzle,84.71428571428571,2019.0,551
Unity, Simulator,84.71428571428571,2019.0,551
Unity, Adventure,84.71428571428571,2019.0,551
Unity, Indie,84.71428571428571,2019.0,551
Tiger,Shooter,82.44,2017.0,522
Tiger,RPG,82.44,2017.0,522
Tiger, Adventure,82.44,2017.0,522
Source,RPG,72.33333333333333,2004.0,550
SmartSim,RPG,67.26666666666667,2014.0,535
SmartSim, Simulator,67.26666666666667,2014.0,535
id Tech 6,Shooter,86.54545454545455,2017.0,520
id Tech 6, Adventure,86.54545454545455,2017.0,520
Source,Shooter,88.0,2019.0,531
Source, Tactical,88.0,2019.0,531
Crystal Engine,Shooter,80.0,2018.0,524
Crystal Engine, Puzzle,80.0,2018.0,524
Crystal Engine, Adventure,80.0,2018.0,524
Popcap Games Framework,Puzzle,84.55555555555556,2009.0,529
Popcap Games Framework, Real Time Strategy (RTS),84.55555555555556,2009.0,529
Popcap Games Framework, Simulator,84.55555555555556,2009.0,529
Popcap Games Framework, Strategy,84.55555555555556,2009.0,529
Popcap Games Framework, Tactical,84.55555555555556,2009.0,529
Luminous Studio,RPG,81.44,2016.0,511
Luminous Studio, Hack and slash/Beat 'em up,81.44,2016.0,511
Luminous Studio, Adventure,81.44,2016.0,511
Unreal Engine 4,Shooter,85.93333333333334,2019.0,517
Unreal Engine 4,RPG,85.93333333333334,2019.0,517
Unreal Engine 4, Adventure,85.93333333333334,2019.0,517
id Tech 7,Shooter,86.07142857142857,2020.0,516
Heaps.io,Platform,90.08333333333331,2018.0,512
Heaps.io, Adventure,90.08333333333331,2018.0,512
Heaps.io, Indie,90.08333333333331,2018.0,512
Autodesk Beast,Racing,92.82352941176472,2017.0,509
Autodesk Beast, Arcade,92.82352941176472,2017.0,509
Havok Physics,Fighting,91.33333333333331,2008.0,520
Havok Physics, Platform,91.33333333333331,2008.0,520
In House Engine,Shooter,75.27777777777777,2017.0,501
4A Engine,Shooter,83.25,2019.0,509
4A Engine, Adventure,83.25,2019.0,509
Firaxis LORE,Simulator,87.4,2016.0,494
Firaxis LORE, Strategy,87.4,2016.0,494
Firaxis LORE, Turn-based strategy (TBS),87.4,2016.0,494
IW Engine,Shooter,76.77777777777777,2015.0,500
IW Engine, Adventure,76.77777777777777,2015.0,500
Glacier 2,Shooter,78.58974358974359,2016.0,481
Glacier 2, Tactical,78.58974358974359,2016.0,481
Glacier 2, Adventure,78.58974358974359,2016.0,481
Custom built engine,RPG,73.84210526315789,2016.0,474
Custom built engine, Simulator,73.84210526315789,2016.0,474
Custom built engine, Adventure,73.84210526315789,2016.0,474
Custom built engine, Indie,73.84210526315789,2016.0,474
Dawn Engine,Shooter,82.86206896551724,2016.0,477
Dawn Engine, Puzzle,82.86206896551724,2016.0,477
Dawn Engine,RPG,82.86206896551724,2016.0,477
Dawn Engine, Adventure,82.86206896551724,2016.0,477
Unreal Engine,RPG,88.5,2012.0,499
Unreal Engine, Simulator,88.5,2012.0,499
Unreal Engine, Strategy,88.5,2012.0,499
Unreal Engine, Turn-based strategy (TBS),88.5,2012.0,499
Unreal Engine, Tactical,88.5,2012.0,499
Telltale Tool,Point-and-click,87.82142857142857,2014.0,498
Telltale Tool, Puzzle,87.82142857142857,2014.0,498
Telltale Tool, Adventure,87.82142857142857,2014.0,498
Unity,Point-and-click,73.8,2013.0,492
Unity, Music,73.8,2013.0,492
Unity, Puzzle,73.8,2013.0,492
Unity, Adventure,73.8,2013.0,492
Unity, Indie,73.8,2013.0,492
Unreal Engine,Adventure,75.38461538461539,2018.0,486
Custom built engine,Shooter,84.14285714285714,2013.0,482
Custom built engine, Adventure,84.14285714285714,2013.0,482
RenderWare,Shooter,70.0,1999.0,497
RenderWare, Racing,70.0,1999.0,497
Frostbite 3,Shooter,73.21739130434783,2017.0,466
Frostbite 3,RPG,73.21739130434783,2017.0,466
Frostbite 3, Adventure,73.21739130434783,2017.0,466
Halo Reach,Shooter,87.5,2012.0,482
Avalanche engine,Shooter,72.0,2015.0,474
Avalanche engine, Racing,72.0,2015.0,474
Avalanche engine, Adventure,72.0,2015.0,474
MT Framework,RPG,93.25,2018.0,466
MT Framework, Adventure,93.25,2018.0,466
Frostbite,Shooter,71.82352941176471,2017.0,467
Frostbite, Adventure,71.82352941176471,2017.0,467
AnvilNext,RPG,70.91666666666667,2014.0,472
AnvilNext, Adventure,70.91666666666667,2014.0,472
Unity,Shooter,84.72222222222223,2016.0,466
Unity, Puzzle,84.72222222222223,2016.0,466
Unity, Tactical,84.72222222222223,2016.0,466
Unity, Indie,84.72222222222223,2016.0,466
Glacier,Shooter,80.33333333333333,2006.0,480
LithTech Jupiter EX,Shooter,80.85714285714286,2005.0,475
EAGL,Racing,70.5,2006.0,480
EAGL, Simulator,70.5,2006.0,480
Chrome Engine,Shooter,69.875,2011.0,469
Chrome Engine, Hack and slash/Beat 'em up,69.875,2011.0,469
Custom built engine,Shooter,95.0,2014.0,478
Custom built engine, Puzzle,95.0,2014.0,478
Custom built engine,RPG,95.0,2014.0,478
Custom built engine, Adventure,95.0,2014.0,478
Custom built engine, Indie,95.0,2014.0,478
Custom built engine, Arcade,95.0,2014.0,478
Unreal Engine,Shooter,83.75,2006.0,474
Dunia Engine,Shooter,85.0,2008.0,470
Dunia Engine, Adventure,85.0,2008.0,470
